country,population,death_rate,dr_per_day,death_rate_pop
United Arab Emirates,9630959.0,1.429,3.9150684931506854e-06,37.70586413972603
United Kingdom,66488991.0,9.2,2.5205479452054793e-05,1675.886896438356
Uruguay,3449299.0,9.461,2.592054794520548e-05,89.40772010684933
Uzbekistan,32955400.0,5.0,1.3698630136986302e-05,451.4438356164384
Vanuatu,292680.0,5.334,1.4613698630136985e-05,4.277137315068493
Venezuela,28870195.0,6.814,1.866849315068493e-05,538.9630376164383
Vietnam,95540395.0,6.252999999999999,1.7131506849315067e-05,1636.7509313287671
West Bank and Gaza,4569087.0,3.469,9.504109589041096e-06,43.425103569863005
Yemen,28498687.0,5.978,1.6378082191780818e-05,466.75383804383563
Zambia,17351822.0,6.632999999999999,1.8172602739726024e-05,315.3277680164383
Zimbabwe,14439018.0,8.044,2.2038356164383567e-05,318.21222134794516
